Day,Shift_U
4/24/2017,-40.749816
4/25/2017,-44.3853388
4/26/2017,-44.8547607
4/27/2017,-44.844773
4/28/2017,-46.7823868
5/8/2017,-43.5263966
5/9/2017,-44.3853388
5/10/2017,-41.748586
5/11/2017,-43.6961875
5/12/2017,-44.5051912
5/13/2017,-47.9309723
5/14/2017,-39.3115872
5/15/2017,-42.8172699
5/16/2017,-44.0557447
5/17/2017,-44.1955725
5/18/2017,-46.9521777
5/19/2017,-41.6886598
5/20/2017,-40.3203449
5/21/2017,-43.5763351
5/22/2017,-36.5849451
5/23/2017,-48.8698161
5/24/2017,-39.551292
5/25/2017,-39.3115872
5/26/2017,-40.0307016
5/27/2017,-40.3902588
5/28/2017,-41.4289796
5/29/2017,-40.0406893
5/30/2017,-38.7422883
5/31/2017,-40.4901358
6/1/2017,-42.9271346
6/2/2017,-39.0019685
6/3/2017,-43.9059292
6/4/2017,-41.8384753
6/5/2017,-42.2679464
6/6/2017,-38.8821161
6/7/2017,-40.1205909
6/8/2017,-34.657319
6/9/2017,-40.8297176
6/10/2017,-40.849693
6/11/2017,-40.5300866
6/12/2017,-36.8246499
6/13/2017,-36.4051665
6/14/2017,-44.2854618
6/15/2017,-45.743666
6/16/2017,-36.4950558
6/17/2017,-40.050677
6/18/2017,-37.6736044
6/19/2017,-39.9108492
6/20/2017,-38.6024605
6/21/2017,-42.9171469
6/22/2017,-40.0307016
6/23/2017,-41.2691764
6/24/2017,-40.3902588
6/25/2017,-45.543912
6/26/2017,-45.5938505
6/27/2017,-39.6711444
6/28/2017,-37.4938258
6/29/2017,-37.1842071
6/30/2017,-39.3015995
7/1/2017,-40.2404433
7/2/2017,-38.1230509
7/3/2017,-38.652399
7/4/2017,-41.2591887
7/5/2017,-47.7711691
7/6/2017,-43.1568517
7/7/2017,-40.3303326
7/8/2017,-40.4002465
7/9/2017,-48.6201236
7/10/2017,-40.4002465
7/11/2017,-40.5900128
7/12/2017,-44.4053142
7/13/2017,-39.8009845
7/14/2017,-41.7385983
7/15/2017,-43.7860768
7/25/2017,-43.0070362
7/26/2017,-40.5101112
7/27/2017,-39.9208369
7/28/2017,-36.6948098
7/29/2017,-35.1666917
8/2/2017,-32.759656
8/3/2017,-45.2942195
8/4/2017,-38.153014
8/5/2017,-41.8984015
8/6/2017,-44.4053142
8/7/2017,-44.4852158
8/8/2017,-41.8584507
8/9/2017,-38.4426573
8/10/2017,-39.5812551
8/11/2017,-53.9835185
8/12/2017,-36.5250189
8/13/2017,-45.2043302
8/14/2017,-41.748586
8/15/2017,-38.5325466
8/16/2017,-37.1342686
8/17/2017,-43.1768271
8/18/2017,-40.3702834
8/19/2017,-41.1293486
8/20/2017,-40.9995085
8/21/2017,-38.6623867
8/22/2017,-41.3590657
8/23/2017,-43.046987
8/24/2017,-43.9159169
8/25/2017,-40.2104802
8/26/2017,-41.6586967
8/27/2017,-40.749816
8/28/2017,-40.8596807
8/29/2017,-42.6574667
9/1/2017,-39.6012305
9/2/2017,-38.6723744
9/3/2017,-44.4752281
9/4/2017,-42.847233
9/5/2017,-42.3178849
9/6/2017,-40.1805171
9/7/2017,-38.3327926
9/8/2017,-37.5837151
9/9/2017,-44.7349083
9/10/2017,-45.5039612
9/11/2017,-41.5887828
9/12/2017,-41.3590657
9/13/2017,-40.3602957
9/14/2017,-40.2304556
9/15/2017,-41.9683154
9/16/2017,-43.5263966
9/18/2017,-42.6574667
9/19/2017,-43.2267656
9/20/2017,-42.3278726
9/21/2017,-43.7361383
9/22/2017,-45.7736291
9/23/2017,-47.0620424
9/24/2017,-42.0681924
9/25/2017,-40.9695454
9/26/2017,-41.8884138
9/27/2017,-38.352768
9/28/2017,-43.2866918
9/29/2017,-44.4852158
9/30/2017,-41.0394593
10/1/2017,-42.9670854
10/2/2017,-43.3266426
10/3/2017,-45.543912
10/4/2017,-45.0145639
10/5/2017,-45.0145639
10/6/2017,-55.0122516
10/7/2017,-49.6888075
10/8/2017,-40.4701604
10/9/2017,-48.5102589
10/10/2017,-47.2717841
10/11/2017,-49.6089059
10/12/2017,-49.1894225
10/13/2017,-46.6525467
10/14/2017,-46.4827558
10/15/2017,-49.538992
10/16/2017,-43.0869378
10/17/2017,-43.9958185
10/18/2017,-48.739976
10/19/2017,-46.3928665
10/20/2017,-46.1731371
10/21/2017,-46.642559
10/22/2017,-51.5165566
10/23/2017,-54.6726698
10/24/2017,-57.1496194
10/25/2017,-48.1307263
10/26/2017,-48.7899145
10/27/2017,-48.6201236
10/28/2017,-50.4478727
10/29/2017,-46.3828788
10/30/2017,-47.5214766
10/31/2017,-51.5265443
11/1/2017,-49.7087829
11/2/2017,-46.6026082
11/3/2017,-50.8274053
11/4/2017,-52.0459047
11/5/2017,-51.3567534
11/6/2017,-52.2057079
11/7/2017,-51.8461507
11/8/2017,-52.2756218
11/9/2017,-44.9546377
11/10/2017,-50.7974422
11/11/2017,-51.3967042
11/12/2017,-50.5976882
11/13/2017,-53.5840105
11/14/2017,-52.0259293
11/15/2017,-54.3730388
11/16/2017,-50.4478727
11/17/2017,-49.2593364
11/18/2017,-55.2419687
11/19/2017,-50.5877005
11/20/2017,-50.737516
11/21/2017,-48.9696931
11/22/2017,-50.2780818
11/23/2017,-48.7799268
11/24/2017,-52.2656341
11/25/2017,-54.5927682
11/26/2017,-56.7600991
11/27/2017,-50.8274053
11/28/2017,-49.7087829
11/29/2017,-55.631489
11/30/2017,-51.6463967
12/3/2017,-48.7299883
12/4/2017,-50.4978112
12/5/2017,-50.0283893
12/6/2017,-53.2044779
12/7/2017,-49.4491027
12/8/2017,-42.6275036
12/9/2017,-50.0184016
12/10/2017,-48.6500867
12/11/2017,-52.3555234
12/12/2017,-50.6576144
12/13/2017,-54.0234693
12/14/2017,-52.335548
12/15/2017,-49.8785738
12/16/2017,-51.6064459
12/17/2017,-52.7250683
12/18/2017,-52.3754988
12/19/2017,-52.7650191
12/20/2017,-52.6751298
12/21/2017,-50.6576144
12/22/2017,-49.8985492
12/23/2017,-48.2805418
12/24/2017,-49.2693241
12/25/2017,-46.1331863
12/26/2017,-49.4191396
12/27/2017,-50.3080449
1/1/2018,-53.9435677
1/2/2018,-45.8535307
1/3/2018,-56.3805665
1/4/2018,-52.0858555
1/5/2018,-55.2619441
1/6/2018,-59.4168273
1/7/2018,-59.3968519
1/8/2018,-56.0210093
1/9/2018,-52.8648961
1/10/2018,-53.3542934
1/11/2018,-55.6414767
1/12/2018,-54.2132356
1/13/2018,-53.3642811
1/14/2018,-52.7150806
1/15/2018,-53.1545394
1/16/2018,-53.9235923
1/17/2018,-52.9647731
1/18/2018,-53.3842565
1/19/2018,-56.1508494
1/20/2018,-55.3518334
1/21/2018,-55.7014029
1/22/2018,-52.8748838
1/23/2018,-51.2568764
1/24/2018,-56.3006649
1/25/2018,-57.6090536
1/26/2018,-54.6427067
1/27/2018,-58.5678728
1/28/2018,-57.2894472
1/29/2018,-56.8699638
1/30/2018,-56.1108986
1/31/2018,-52.635179
2/1/2018,-55.4716858
